"personne,""discipline"",""nation"",""anneeMin"",""anneeMax"",""nbOr"",""nbArgent"",""nbBronze"",""total"""
"http://dbpedia.org/resource/Willis_Augustus_Lee,""Shooting"",""USA"",1920,1920,5,1,1,7"
"http://dbpedia.org/resource/Penny_Oleksiak,""Swimming"",""USA"",2016,2020,1,2,4,7"
"http://dbpedia.org/resource/Kōhei_Uchimura,""Gymnastics"",""JPN"",2008,2016,3,4,0,7"
"http://dbpedia.org/resource/Kati_Wilhelm,""Biathlon"",""GER"",2002,2010,3,3,1,7"
"http://dbpedia.org/resource/Karin_Büttner-Janz,""Gymnastics"",""GDR"",1968,1972,2,3,2,7"
"http://dbpedia.org/resource/Danuta_Kozák,""Canoeing"",""HUN"",2012,2020,6,0,1,7"
"http://dbpedia.org/resource/Eizo_Kenmotsu,""Gymnastics"",""JPN"",1968,1976,1,3,3,7"
"http://dbpedia.org/resource/Shelly-Ann_Fraser-Pryce,""Athletics"",""JAM"",2008,2020,3,3,1,7"
"http://dbpedia.org/resource/Amanda_Beard,""Swimming"",""USA"",1996,2004,2,4,1,7"
"http://dbpedia.org/resource/Elena_Belova,""Fencing"",""URS"",1968,1980,4,1,1,6"
"http://dbpedia.org/resource/Anastasiya_Kuzmina,""Biathlon"",""SVK"",2010,2018,3,3,0,6"
"http://dbpedia.org/resource/Carlo_Massullo,""Modern pentathlon"",""ITA"",1984,1992,1,3,2,6"
"http://dbpedia.org/resource/Mika_Myllylä,""Cross-country skiing"",""FIN"",1994,1998,1,1,4,6"
"http://dbpedia.org/resource/Tarjei_Bø,""Biathlon"",""NOR"",2010,2022,3,2,1,6"
"http://dbpedia.org/resource/Kim_Soo-nyung,""Archery"",""KOR"",1988,2000,4,1,1,6"
"http://dbpedia.org/resource/Eero_Mäntyranta,""Cross-country skiing"",""FIN"",1964,1968,2,2,2,6"
"http://dbpedia.org/resource/Torri_Huske,""Swimming"",""USA"",2020,2024,3,3,0,6"
"http://dbpedia.org/resource/Jin_Jong-oh,""Shooting"",""KOR"",2004,2016,4,2,0,6"
"http://dbpedia.org/resource/Abbey_Weitzeil,""Swimming"",""USA"",2016,2024,2,3,1,6"
"http://dbpedia.org/resource/Adam_Peaty,""Swimming"",""GBR"",2016,2024,3,3,0,6"
"http://dbpedia.org/resource/Kevin_Kuske,""Bobsleigh"",""GER"",2002,2018,4,2,0,6"
"http://dbpedia.org/resource/Yuliya_Chepalova,""Cross-country skiing"",""RUS"",1998,2006,3,2,1,6"
"http://dbpedia.org/resource/Nathan_Adrian,""Swimming"",""USA"",2012,2016,4,0,2,6"
"http://dbpedia.org/resource/Ole_Lilloe-Olsen,""Shooting"",""NOR"",1920,1924,5,1,0,6"
"http://dbpedia.org/resource/Janica_Kostelić,""Alpine skiing"",""CRO"",2002,2006,4,2,0,6"
"http://dbpedia.org/resource/Isabell_Werth,""Equestrian"",""GER"",1992,2024,1,5,0,6"
"http://dbpedia.org/resource/Guo_Jingjing,""Diving"",""CHN"",2000,2008,4,2,0,6"
"http://dbpedia.org/resource/Alfred_Schwarzmann,""Gymnastics"",""GER"",1936,1952,3,1,2,6"
"http://dbpedia.org/resource/Ma_Long,""Table tennis"",""CHN"",2012,2024,6,0,0,6"
"http://dbpedia.org/resource/James_Guy_(swimmer),""Swimming"",""GBR"",2016,2024,3,3,0,6"
"http://dbpedia.org/resource/Cao_Yuan,""Diving"",""CHN"",2012,2024,4,1,1,6"
"http://dbpedia.org/resource/Daniela_Hunger,""Swimming"",""GDR"",1988,1992,2,1,3,6"
"http://dbpedia.org/resource/Kristin_Otto,""Swimming"",""GDR"",1988,1988,6,0,0,6"
"http://dbpedia.org/resource/Frank_Beaurepaire,""Swimming"",""ANZ"",1908,1924,0,3,3,6"
"http://dbpedia.org/resource/Tamara_Csipes,""Canoeing"",""HUN"",2016,2024,2,3,1,6"
"http://dbpedia.org/resource/Ralph_Rose,""Athletics"",""USA"",1904,1912,3,2,1,6"
"http://dbpedia.org/resource/Darya_Domracheva,""Biathlon"",""BLR"",2010,2018,4,1,1,6"
"http://dbpedia.org/resource/Zou_Kai,""Gymnastics"",""CHN"",2008,2012,5,0,1,6"
"http://dbpedia.org/resource/Jessica_Fox_(canoeist),""Canoeing"",""AUS"",2012,2024,3,1,2,6"
"http://dbpedia.org/resource/Steve_Redgrave,""Rowing"",""GBR"",1984,2000,5,0,1,6"
"http://dbpedia.org/resource/Jørgen_Graabak,""Nordic combined"",""NOR"",2014,2022,4,2,0,6"
"http://dbpedia.org/resource/Bode_Miller,""Alpine skiing"",""USA"",2002,2014,1,3,2,6"
"http://dbpedia.org/resource/Zoltán_Halmay,""Swimming"",""HUN"",1900,1908,2,3,1,6"
"http://dbpedia.org/resource/Shirley_Strickland,""Athletics"",""AUS"",1948,1956,2,1,3,6"
"http://dbpedia.org/resource/Roald_Larsen,""Speed skating"",""NOR"",1924,1928,0,2,4,6"
"http://dbpedia.org/resource/Claudia_Nystad,""Cross-country skiing"",""GER"",2002,2014,2,3,1,6"
"http://dbpedia.org/resource/Lidiya_Skoblikova,""Speed skating"",""URS"",1960,1964,6,0,0,6"
"http://dbpedia.org/resource/Simona_Amânar,""Gymnastics"",""ROU"",1996,2000,2,1,3,6"
"http://dbpedia.org/resource/Halvard_Hanevold,""Biathlon"",""NOR"",1998,2010,3,2,1,6"
"http://dbpedia.org/resource/Armin_Zöggeler,""Luge"",""ITA"",1994,2014,2,1,3,6"
"http://dbpedia.org/resource/Jackie_Joyner-Kersee,""Athletics"",""USA"",1984,1996,3,1,2,6"
"http://dbpedia.org/resource/Gunde_Svan,""Cross-country skiing"",""SWE"",1984,1988,4,1,1,6"
"http://dbpedia.org/resource/Alfred_Lane,""Shooting"",""USA"",1912,1920,5,0,1,6"
"http://dbpedia.org/resource/Elaine_Thompson-Herah,""Athletics"",""JAM"",2016,2020,5,1,0,6"
"http://dbpedia.org/resource/Svetlana_Romashina,""Synchronized swimming"",""RUS"",2008,2020,6,0,0,6"
"http://dbpedia.org/resource/Cindy_Klassen,""Speed skating"",""CAN"",2002,2006,1,2,3,6"
"http://dbpedia.org/resource/Brendan_Hansen,""Swimming"",""USA"",2004,2012,3,1,2,6"
"http://dbpedia.org/resource/Sifan_Hassan,""Athletics"",""NED"",2020,2024,3,0,3,6"
"http://dbpedia.org/resource/Rintje_Ritsma,""Speed skating"",""NED"",1994,2006,0,2,4,6"
"http://dbpedia.org/resource/Max_Whitlock,""Gymnastics"",""GBR"",2012,2020,3,0,3,6"
"http://dbpedia.org/resource/Wang_Yifu,""Shooting"",""CHN"",1984,2004,2,3,1,6"
"http://dbpedia.org/resource/Wolfgang_Hoppe,""Bobsleigh"",""GER"",1984,1994,2,3,1,6"
"http://dbpedia.org/resource/Kateřina_Neumannová,""Cross-country skiing"",""CZE"",1998,2006,1,4,1,6"
"http://dbpedia.org/resource/Kim_Rhode,""Shooting"",""USA"",1996,2016,3,1,2,6"
"http://dbpedia.org/resource/Hrihoriy_Misyutin,""Gymnastics"",""EUN"",1992,1996,1,4,1,6"
